Exercise_Name,Base_Lift,exercise_id
External Rotations (Cable),Best3DeadliftKg,903
Ez Bar Cable Curl,Best3DeadliftKg,904
Ez-Bar Skull Crusher,Best3BenchKg,907
FFE Contralateral DB Reverse Lunge,Best3SquatKg,908
Face Pull,Best3DeadliftKg,911
Face Pull (Paused),Best3DeadliftKg,913
Face Pull (Rotator Cuff),Best3DeadliftKg,914
Farmer's Walk (Weighted),Cardio_Core,917
Fat Grip Reverse Curls(Ez Bar),Best3DeadliftKg,921
Fear Press,Best3BenchKg,922
Feet Up Bench,Best3BenchKg,923
Feet Up Bench Press,Best3BenchKg,924
Flat Bench Curls,Best3DeadliftKg,931
Flat Chest Db Press,Best3DeadliftKg,932
Flat Chest Press,Best3DeadliftKg,933
Flat Dumbbell Press,Best3DeadliftKg,935
"Flat Dumbbell Press (12,10,8,6,4)",Best3DeadliftKg,936
Flexion Row,Best3DeadliftKg,946
Floating Deadlift,Best3DeadliftKg,948
Floor Chest Fly (Dumbbell),Best3BenchKg,949
Floor Press (Dumbbell),Best3BenchKg,952
Flutter Kicks,Cardio_Core,955
Fly Press (Dumbbell),Best3BenchKg,959
Foot To Bar,Cardio_Core,961
Forearm Curl Straight Bar,Best3DeadliftKg,964
Forearm Finger Curl Pronated (Optional),Best3DeadliftKg,966
Forearm Finger Curl Supinated (Optional),Best3DeadliftKg,967
Forearms Curls,Best3DeadliftKg,974
Forward Jump,Cardio_Core,975
Forward Sled,Best3DeadliftKg,976
Frame Carry,Best3DeadliftKg,977
Frame Hold,Cardio_Core,978
Free Motion Pec Fly,Best3BenchKg,979
French Press,Best3BenchKg,981
French Press (Barbell),Best3BenchKg,982
Frog Pumps,Cardio_Core,984
Frog Squat (Dumbbell),Best3SquatKg,985
Front Carry Lunge For Time,Best3SquatKg,989
Front Foot Elevated Lunge,Best3SquatKg,990
Front Foot Elevated Split Squat,Best3SquatKg,992
Front Foot Elevated Split Squat SSB,Best3SquatKg,993
Front Lever,Best3DeadliftKg,994
Front Lever Hold,Best3DeadliftKg,996
Front Pin Squat,Best3SquatKg,998
Front PullDwon,Best3DeadliftKg,999
Front Raise,Best3BenchKg,1000
Front Raise (Arm Behind You),Best3BenchKg,1001
Front Raise (Cable),Best3BenchKg,1002
Front Raise (Palms Up),Best3BenchKg,1003
Front Squat (Barbell),Best3SquatKg,1005
Front Squat (Dumbbell),Best3SquatKg,1007
Front Squat (Paused),Best3SquatKg,1008
Front Squat W/ Elevated Heels,Best3SquatKg,1010
GH Situp,Cardio_Core,1017
GHD Sit Up (Weighted),Cardio_Core,1018
GHR’s,Best3DeadliftKg,1019
Garhammer Raise,Best3BenchKg,1020
Garhammer Raises,Best3BenchKg,1021
Ghd Sit Up,Cardio_Core,1022
Ghr Sit Up,Cardio_Core,1023
Glute Bridge (Band),Cardio_Core,1024
Glute Bridge (Bodyweight),Best3SquatKg,1026
Glute Bridge (Dumbbell),Best3SquatKg,1027
Glute Bridge (Machine),Best3SquatKg,1028
Glute Bridge Hold,Best3SquatKg,1030
Glute Bridge Smith,Best3SquatKg,1031
Glute Bridges,Best3SquatKg,1032
Glute Bridges With Resistance Band,Cardio_Core,1033
Glute Bulgarian Split Squat (Dumbbell),Best3SquatKg,1034
Glute Drive (Machine),Best3SquatKg,1035
Glute Drive/Hip Thrust Machine,Best3SquatKg,1036
Glute Ham Raise Sit Ups,Cardio_Core,1037
Glute Kickback,Best3BenchKg,1039
Glute-Biased Leg Press,Best3SquatKg,1042
Goblet Lunge Squat Lunge Combo,Best3SquatKg,1047
Goblet March,Best3SquatKg,1048
Goblet Rebound Lateral Lunge,Best3SquatKg,1050
