Exercise_Name,Base_Lift,exercise_id
Behind-The-Neck Press (Smith Machine),Best3DeadliftKg,315
Behind-back Cable Curl,Best3DeadliftKg,316
Behind-the-Neck Lat Pulldown,Best3DeadliftKg,317
Behind-the-Neck Overhead Press,Best3BenchKg,318
Behind-the-Neck Push Press,Best3BenchKg,319
Belt Squat,Best3SquatKg,320
Belt Squat Stiff Leg Deadlifts,Best3SquatKg,321
Bench Dips,Best3BenchKg,322
Bench Jack Knife,Best3BenchKg,323
Bench Press,Best3BenchKg,324
Bench Press (AM),Best3BenchKg,325
Bench Press (Banded),Cardio_Core,326
Bench Press (Barbell),Best3BenchKg,327
Bench Press (Board),Best3BenchKg,328
Bench Press (Close Grip),Best3BenchKg,329
Bench Press (Duffalo Bar),Best3BenchKg,330
Bench Press (Dumbbell),Best3BenchKg,331
Bench Press (Harambe System Or Barbell),Best3BenchKg,332
Bench Press (Paused),Best3BenchKg,333
Bench Press (Smith Machine),Best3DeadliftKg,334
Bench Press (Swiss Bar),Best3BenchKg,335
Bench Press (Touch & Go),Best3BenchKg,336
Bench Press (Wide Grip),Best3BenchKg,337
Bench Press - Cable,Best3BenchKg,338
Bench Press Incline (Close Grip),Best3BenchKg,339
Bench Press Pause (Dumbbell),Best3BenchKg,340
Bench Squat,Best3SquatKg,341
Bench T-Spine Stretch,Cardio_Core,342
Bench(BB),Best3BenchKg,343
Bent Knee Standing Calf Raise,Best3SquatKg,344
Bent Leg Raise,Best3BenchKg,345
Bent Over Cable Pec Flye,Best3BenchKg,346
Bent Over Calf Raises,Best3SquatKg,347
Bent Over Lateral Raise (Dumbbell),Best3DeadliftKg,348
Bent Over Machine Row,Best3DeadliftKg,349
Bent Over Reverse Fly,Best3BenchKg,350
Bent Over Row,Best3DeadliftKg,351
Bent Over Row (Barbell),Best3DeadliftKg,352
"Bent Over Row (Barbell, Paused)",Best3DeadliftKg,353
Bent Over Row (Dumbbell),Best3DeadliftKg,354
Bent Over Row (Kettlebell),Best3DeadliftKg,355
Bent Over Row (Smith Machine),Best3DeadliftKg,356
Bent Over Row (cable),Best3DeadliftKg,357
Bent-Over Row (Smith Machine),Best3DeadliftKg,358
"Bicep Curl (12,10,8,6,4)",Best3DeadliftKg,359
Bicep Curl (12-15),Best3DeadliftKg,360
Bicep Curl (Barbell),Best3DeadliftKg,361
Bicep Curl (Cable),Best3DeadliftKg,362
Bicep Curl (Dumbbell),Best3DeadliftKg,363
Bicep Curl (EZ Bar),Best3DeadliftKg,364
Bicep Curl (Machine),Best3DeadliftKg,365
Bicep Curl (TRX),Best3DeadliftKg,366
Bicep Curl Cable Seated,Best3DeadliftKg,367
Bicep Curl Incline (Dumbell),Best3DeadliftKg,368
Bicep Curl Of Choice (Swap This Out For A Listed Exercise),Best3DeadliftKg,369
Bicep Curl To Overhead Press,Best3DeadliftKg,370
"Bicep Curl, Cable, Bench Out In Front",Best3DeadliftKg,371
Bicep Curls (Cable),Best3DeadliftKg,372
Bicep Down Machine,Best3DeadliftKg,373
Bicep Pull Up,Best3DeadliftKg,374
Bicep Stretch,Cardio_Core,375
Biceps Pull-Down,Best3DeadliftKg,376
Bicycle,Cardio_Core,377
Bicycle Crunch,Cardio_Core,378
Bicycle Crunche,Cardio_Core,379
Bicycle Crunches Raised Legs,Cardio_Core,380
Bicycle crunch,Cardio_Core,381
Bike,Cardio_Core,382
Bike Erg,Cardio_Core,383
Bike Ride,Cardio_Core,384
Bike Sprint,Cardio_Core,385
Bilateral Cable Lat Raise,Best3DeadliftKg,386
Bilateral Snapdown,Best3DeadliftKg,387
Bird Dog,Cardio_Core,388
Bird Dog (Reps),Cardio_Core,389
Bird Dog Isometric Hold,Cardio_Core,390
Bird Dogs,Cardio_Core,391
Bird-dog,Cardio_Core,392
Birddogs,Cardio_Core,393
Block Press,Best3BenchKg,394
Block Pull (Barbell),Best3DeadliftKg,395
Board Bench Press,Best3BenchKg,396
Boarded Bench Press,Best3BenchKg,397
Body Weight Row On Barbell,Best3DeadliftKg,398
Bodyweight Feet Elevated Pike Push-up,Best3BenchKg,399
Bodyweight Hip Thrust,Best3SquatKg,400
Bodyweight RDL,Best3DeadliftKg,401
Bodyweight Row,Best3DeadliftKg,402
Bodyweight Side Lying Clamshell,Cardio_Core,403
Bodyweight Single Leg Deadlifts W/ Reach,Best3DeadliftKg,404
Bodyweight Squat,Best3SquatKg,405
Bodyweight Sumo squat,Best3SquatKg,406
Bodyweight Triceps Extension,Best3BenchKg,407
Bodyweight Walking Lunges,Cardio_Core,408
Bosu Ball Crunch,Cardio_Core,409
Bosu Ball Push Ups,Best3BenchKg,410
Bosu Ball Squats,Best3SquatKg,411
Bosu Glute Bridge,Best3SquatKg,412
Bosu Rock,Cardio_Core,413
Bosu Squat,Best3SquatKg,414
Bottom Half DB Fly,Best3BenchKg,415
Bottom Half Standing Calf Raise,Best3SquatKg,416
Bottom-2/3 Constant Tension Preacher Curl,Best3DeadliftKg,417
Bottom-Half DB Flye,Best3BenchKg,418
Bottom-Half Seated Cable Flye,Best3BenchKg,419
Bottom-ROM Paused Squats (Smith),Best3SquatKg,420
Bounding (Power Stride),Cardio_Core,421
Bounds,Cardio_Core,422
Box Drop Broad Jump,Cardio_Core,423
Box Jump,Cardio_Core,424
Box Shuffle,Cardio_Core,425
Box Squat (Barbell),Best3SquatKg,426
Box Step-Up,Best3SquatKg,427
Bradford Press,Best3BenchKg,428
Braemar Stone,Cardio_Core,429
Broad Jump,Cardio_Core,430
